ID,Age,Economic Status,Profession,Average Pokemon Level,Criminal Record,Win Ratio,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Charity Participation,Team Rocket,Debt
64,49,Middle,Black Market Dealer,79,0,48,0,Aggressive,25,0,1,0,0
65,35,Low,Researcher,28,0,46,0,Defensive,17,0,1,0,0
66,46,Middle,Police Officer,43,0,75,0,Aggressive,26,1,1,1,0
67,10,Low,PokéMart Seller,98,0,71,0,Aggressive,10,0,1,0,0
68,33,Middle,Police Officer,9,0,63,0,Unpredictable,18,0,1,0,0
69,30,High,Researcher,65,0,27,0,Unpredictable,24,0,1,0,0
70,44,Middle,Elite Trainer,34,0,68,0,Unpredictable,11,0,1,0,0
71,32,Middle,PokéMart Seller,47,0,44,0,Defensive,22,0,1,0,0
72,31,Middle,Gym Leader Assistant,23,0,43,0,Aggressive,9,0,1,0,0
73,26,Low,Scientist,27,0,34,0,Unpredictable,2,0,1,0,0
74,58,Low,Gym Leader Assistant,13,0,78,0,Defensive,17,0,1,0,0
75,10,Low,Daycare Worker,90,0,59,0,Unpredictable,12,0,1,0,0
76,36,Low,Scientist,22,0,74,0,Defensive,8,0,1,0,0
77,13,Middle,Daycare Worker,74,0,59,0,Unpredictable,4,0,1,0,0
78,53,Middle,Elite Trainer,9,0,66,0,Unpredictable,0,0,1,0,0
79,11,Low,Nurse,8,0,61,0,Unpredictable,15,0,1,0,0
80,40,Low,Underground Battler,100,0,75,0,Defensive,25,0,1,0,0
81,54,Low,Gym Leader Assistant,69,0,57,0,Defensive,3,0,1,0,0
82,64,Low,Rocket Grunt,71,0,73,0,Unpredictable,6,0,1,0,0
83,52,Middle,Black Market Dealer,54,0,41,0,Defensive,6,0,1,0,0
84,51,Middle,Black Market Dealer,38,1,76,0,Defensive,13,1,1,1,0
85,16,Low,Underground Battler,89,0,68,0,Unpredictable,10,0,1,0,0
86,53,Low,Black Market Dealer,56,0,84,0,Aggressive,19,0,1,0,0
87,24,Middle,Rocket Grunt,30,1,66,0,Unpredictable,11,1,0,1,1
88,11,Low,Police Officer,20,0,78,0,Defensive,5,0,0,1,1
89,43,Middle,Underground Battler,53,0,53,0,Defensive,22,0,1,0,0
90,67,Middle,Casino Worker,52,0,26,0,Unpredictable,18,0,1,0,0
91,39,Low,Researcher,90,0,55,0,Aggressive,17,0,1,0,0
92,15,High,Elite Trainer,98,0,76,0,Unpredictable,17,0,1,0,0
93,37,Low,Rocket Grunt,93,0,23,0,Defensive,6,0,1,0,0
94,32,Low,Fisherman,40,0,70,0,Unpredictable,14,0,1,0,0
95,49,Middle,Champion,60,0,33,0,Aggressive,19,0,1,0,0
96,43,High,Rocket Grunt,31,0,46,0,Defensive,20,0,1,0,0
97,28,Low,Gym Leader Assistant,46,0,35,0,Unpredictable,1,0,1,0,0
98,33,High,Gym Leader Assistant,56,0,73,0,Aggressive,25,0,1,0,0
99,40,Middle,Underground Battler,59,0,23,0,Unpredictable,1,0,1,0,0
100,41,Low,Biker,50,0,53,0,Aggressive,25,0,1,0,0
101,26,Low,Police Officer,24,0,32,0,Unpredictable,7,0,1,0,0
102,67,Middle,Fisherman,46,0,21,0,Defensive,21,0,1,0,0
103,58,Middle,Black Market Dealer,7,1,48,1,Defensive,28,1,0,1,1
104,43,High,Elite Trainer,66,0,42,0,Unpredictable,6,0,1,0,0
105,52,Middle,Elite Trainer,90,0,84,0,Aggressive,11,0,1,0,0
106,19,Low,PokéMart Seller,20,0,43,0,Aggressive,3,1,0,1,1
107,22,Middle,Researcher,6,0,73,0,Defensive,6,0,1,0,0
108,48,Middle,Police Officer,41,0,42,1,Aggressive,20,0,0,1,0
109,30,High,Breeder,71,0,83,0,Unpredictable,2,0,1,0,0
110,61,Low,Black Market Dealer,51,0,37,0,Aggressive,22,0,1,0,0
111,44,Middle,Black Market Dealer,75,1,34,0,Aggressive,9,1,0,1,1
112,34,Middle,Casino Worker,90,0,55,0,Defensive,6,0,1,0,0
113,32,Middle,Daycare Worker,60,0,23,0,Defensive,9,0,1,0,0
114,70,Low,Underground Battler,96,0,78,0,Aggressive,14,0,1,0,0
115,55,Low,Breeder,82,0,40,0,Aggressive,19,0,1,0,0
116,57,Low,PokéMart Seller,35,1,70,0,Aggressive,20,1,0,1,1
117,51,Middle,Researcher,87,0,40,0,Aggressive,10,0,1,0,0
118,37,Low,Elite Trainer,17,0,49,0,Aggressive,24,0,1,0,0
119,52,Middle,Elite Trainer,32,0,50,0,Unpredictable,13,1,1,1,1
120,25,Low,Casino Worker,38,0,56,0,Unpredictable,25,0,1,0,0
121,11,High,Casino Worker,96,0,47,0,Aggressive,0,0,1,0,0
122,27,Middle,Police Officer,14,1,33,0,Aggressive,29,0,0,1,0
123,68,Middle,Scientist,81,0,58,0,Aggressive,24,0,1,0,0
124,16,High,Underground Battler,10,0,38,0,Unpredictable,16,0,1,0,0
125,55,Middle,Casino Worker,93,0,72,0,Defensive,18,0,1,0,0
126,70,Low,Biker,42,0,51,0,Unpredictable,24,0,1,0,0
127,21,Middle,Underground Battler,60,0,78,0,Defensive,12,0,1,0,0
128,25,High,Nurse,55,0,76,0,Unpredictable,20,1,0,1,1
129,16,Low,Casino Worker,55,0,32,0,Defensive,3,0,1,0,0
130,42,Middle,PokéMart Seller,74,0,20,0,Defensive,18,0,1,0,0
131,22,High,Champion,62,0,62,0,Defensive,7,0,1,0,0
132,16,Low,PokéMart Seller,32,0,20,0,Unpredictable,17,0,1,0,0
133,24,High,Nurse,55,0,72,0,Unpredictable,16,0,1,0,0
134,68,Low,Rocket Grunt,67,0,59,0,Aggressive,1,0,1,0,0
135,68,Middle,Gym Leader Assistant,63,0,43,0,Aggressive,13,0,1,0,0
136,36,Middle,Police Officer,14,0,50,0,Unpredictable,25,0,1,0,0
137,49,Low,Casino Worker,96,1,52,0,Defensive,16,0,0,1,0
138,37,Low,Biker,24,0,79,0,Defensive,25,0,1,0,0
139,29,High,Biker,72,0,85,0,Unpredictable,19,0,1,0,0
140,34,Middle,Police Officer,53,0,70,0,Unpredictable,4,0,1,0,0
141,65,High,Underground Battler,57,0,24,0,Defensive,23,0,1,0,0
142,39,Low,Police Officer,69,0,79,0,Unpredictable,17,0,1,0,0
143,18,Low,Biker,84,0,76,0,Defensive,18,0,1,0,0
144,41,Low,Black Market Dealer,97,0,31,0,Aggressive,22,1,1,1,0
145,57,Middle,Black Market Dealer,65,0,69,0,Unpredictable,9,0,1,0,0
146,59,High,Scientist,16,0,86,0,Unpredictable,23,1,0,1,1
147,21,Middle,Casino Worker,94,0,35,0,Defensive,1,0,1,0,0
148,32,Low,Champion,39,0,40,0,Unpredictable,13,0,1,0,0
149,45,Middle,PokéMart Seller,82,0,62,0,Unpredictable,1,0,1,0,0
150,60,Middle,Champion,74,0,72,0,Unpredictable,20,0,1,0,0
151,25,Low,Fisherman,87,0,62,0,Unpredictable,0,0,1,0,0
152,10,Middle,Rocket Grunt,91,0,20,0,Defensive,1,0,1,0,0
153,24,High,Biker,48,0,84,0,Defensive,19,0,1,0,0
154,30,Low,Champion,72,0,60,0,Unpredictable,25,0,1,0,0
155,66,Low,Champion,66,0,71,0,Unpredictable,17,0,1,0,0
156,37,Middle,Fisherman,9,0,78,0,Defensive,13,0,1,0,0
157,10,Middle,Rocket Grunt,98,0,80,0,Defensive,1,0,1,0,0
158,48,Middle,PokéMart Seller,18,0,56,0,Aggressive,21,0,1,0,0
159,57,High,Elite Trainer,94,0,31,0,Unpredictable,14,0,1,0,0
160,13,High,Casino Worker,37,0,83,0,Aggressive,3,0,1,0,0
161,50,Middle,Rocket Grunt,42,0,46,0,Defensive,21,0,1,0,0
162,66,Low,PokéMart Seller,33,0,29,0,Aggressive,1,0,1,0,0
163,52,Low,Researcher,100,0,71,0,Aggressive,14,0,0,1,1
164,49,Low,Fisherman,35,0,67,0,Unpredictable,1,0,1,0,0
165,61,Low,Fisherman,16,0,30,0,Defensive,23,0,1,0,0
166,46,Middle,Fisherman,53,0,71,0,Defensive,21,0,1,0,0
167,32,Low,Police Officer,59,0,74,0,Defensive,11,0,1,0,0
168,14,Low,Researcher,89,0,69,0,Unpredictable,18,0,1,0,0
169,54,Low,Fisherman,52,0,30,0,Defensive,6,0,1,0,0
170,54,Low,Police Officer,47,0,85,0,Aggressive,10,0,1,0,0
171,13,Middle,PokéMart Seller,84,0,79,0,Aggressive,19,0,1,0,0
172,40,High,Underground Battler,59,0,59,0,Aggressive,1,0,1,0,0
173,39,High,Breeder,37,0,85,0,Aggressive,11,0,1,0,0
174,36,Middle,Champion,9,0,61,0,Aggressive,22,0,1,0,0
175,65,Middle,Researcher,84,0,20,0,Defensive,3,0,1,0,0
176,42,Middle,Underground Battler,22,0,47,0,Unpredictable,8,0,1,0,0
177,45,Middle,Daycare Worker,58,0,79,0,Unpredictable,1,0,1,0,0
178,32,Middle,Police Officer,68,0,28,0,Aggressive,3,0,1,0,0
179,46,Middle,Gym Leader Assistant,38,0,32,0,Unpredictable,6,0,1,0,0
180,46,Middle,Gym Leader Assistant,46,0,59,0,Defensive,20,0,1,0,0
181,10,Middle,Scientist,66,0,53,0,Aggressive,19,0,1,0,0
182,49,Middle,Scientist,23,0,76,0,Aggressive,17,0,1,0,0
183,58,Middle,Police Officer,41,0,23,0,Aggressive,9,0,1,0,0
184,29,Middle,Biker,62,0,48,0,Defensive,21,0,1,0,0
185,68,Middle,Scientist,42,0,30,0,Unpredictable,14,0,1,0,0
186,41,Middle,Rocket Grunt,28,0,49,0,Unpredictable,6,0,1,0,0
187,39,High,Underground Battler,49,0,33,0,Unpredictable,19,0,1,0,0
188,42,Middle,Black Market Dealer,50,0,65,0,Unpredictable,2,0,1,0,0
189,60,Low,Biker,38,0,76,0,Defensive,21,0,1,0,0
190,32,Middle,Nurse,18,0,28,0,Aggressive,15,0,1,0,0
191,31,Middle,Breeder,26,0,75,0,Unpredictable,8,0,1,0,0
192,44,High,Daycare Worker,43,0,61,0,Aggressive,22,0,1,0,0
193,36,Middle,Police Officer,42,0,79,0,Aggressive,4,0,1,0,0
194,37,Low,Nurse,47,0,83,0,Aggressive,21,0,1,0,0
195,55,Middle,Scientist,65,0,36,0,Unpredictable,6,0,1,0,0
196,30,Low,Biker,17,1,90,0,Aggressive,20,0,0,1,1
197,49,Middle,Breeder,35,0,32,0,Defensive,22,0,1,0,0
198,35,Middle,Champion,57,0,39,0,Defensive,15,0,1,0,0
199,59,Low,Fisherman,26,0,77,0,Aggressive,7,0,1,0,0
200,67,High,Researcher,100,0,58,0,Unpredictable,18,0,1,0,0
201,59,High,Casino Worker,13,0,38,0,Unpredictable,6,0,1,0,0
202,66,Middle,Fisherman,15,0,55,0,Aggressive,14,0,1,0,0
203,31,High,Underground Battler,35,0,68,0,Aggressive,1,0,1,0,0
204,55,Middle,Rocket Grunt,43,0,54,0,Defensive,8,0,1,0,0
205,11,Middle,Black Market Dealer,78,1,74,0,Aggressive,26,1,0,1,1
206,70,Middle,Underground Battler,54,0,32,0,Unpredictable,11,1,0,1,1
207,53,Low,Rocket Grunt,59,0,48,0,Unpredictable,18,0,1,0,0
208,21,Middle,Champion,92,0,61,0,Unpredictable,11,0,1,0,0
209,29,Middle,Police Officer,55,1,84,1,Aggressive,26,1,0,1,1
210,61,Middle,Underground Battler,100,1,66,0,Unpredictable,3,1,1,1,1
211,69,Middle,Researcher,36,0,45,0,Unpredictable,1,0,1,0,0
212,16,Low,Rocket Grunt,48,0,44,0,Aggressive,4,0,1,0,0
213,51,Low,Elite Trainer,79,0,66,0,Unpredictable,9,0,1,0,0
214,64,Low,Champion,41,0,31,0,Unpredictable,3,0,1,0,0
215,10,Middle,Daycare Worker,46,0,29,0,Unpredictable,23,0,1,0,0
216,52,Middle,Casino Worker,65,0,21,0,Aggressive,4,0,1,0,0
217,26,Low,Biker,17,0,49,0,Defensive,24,0,1,0,0
218,64,Middle,Breeder,75,0,82,0,Aggressive,14,0,1,0,0
219,65,Low,Elite Trainer,64,0,83,0,Unpredictable,24,0,1,0,0
220,58,Low,Researcher,45,0,34,0,Unpredictable,23,0,1,0,0
221,23,Middle,Biker,25,0,58,0,Aggressive,13,0,1,0,0
222,11,Low,Breeder,92,0,26,0,Unpredictable,1,0,1,0,0
223,55,Middle,Fisherman,95,0,35,0,Aggressive,22,0,1,0,0
224,64,Middle,Police Officer,90,0,37,0,Aggressive,21,0,1,0,0
225,68,High,Fisherman,94,0,60,0,Defensive,24,0,1,0,0
226,70,Middle,Nurse,82,0,45,0,Unpredictable,12,0,1,0,0
227,17,Middle,Biker,57,1,57,0,Defensive,23,1,0,1,1
228,69,Middle,Biker,70,0,80,0,Defensive,5,0,1,0,0
229,29,Middle,Biker,18,0,51,0,Aggressive,2,0,1,0,0
230,35,High,Researcher,86,0,56,1,Defensive,23,1,0,1,1
231,31,Middle,Daycare Worker,56,0,59,0,Aggressive,15,0,0,1,1
232,13,Middle,Black Market Dealer,61,0,32,0,Defensive,15,0,1,0,0
233,38,Low,Daycare Worker,84,0,69,0,Unpredictable,21,0,1,0,0
234,14,Low,Daycare Worker,53,0,70,0,Unpredictable,15,0,1,0,0
235,18,Middle,Researcher,60,0,36,0,Defensive,14,0,1,0,0
236,49,Middle,Biker,53,0,84,0,Unpredictable,22,0,1,0,0
237,30,Middle,PokéMart Seller,9,0,27,0,Aggressive,12,0,1,0,0
238,13,Middle,Scientist,35,0,39,0,Unpredictable,24,1,0,1,1
239,67,High,Casino Worker,66,0,66,0,Defensive,4,0,1,0,0
240,16,Low,Champion,60,0,61,0,Defensive,23,0,1,0,0
241,67,Middle,Fisherman,28,0,46,0,Defensive,20,0,1,0,0
242,47,Low,Gym Leader Assistant,36,0,53,0,Unpredictable,6,0,1,0,0
243,58,Middle,Casino Worker,5,0,45,0,Defensive,18,0,1,0,0
244,61,Low,Casino Worker,52,0,39,0,Unpredictable,2,0,1,0,0
245,25,Middle,Biker,36,0,79,0,Defensive,17,0,1,0,0
246,26,Middle,Underground Battler,39,0,39,0,Unpredictable,25,0,1,0,0
247,21,Middle,Researcher,36,0,24,0,Defensive,8,0,1,0,0
248,26,Middle,Elite Trainer,87,0,56,0,Aggressive,16,0,1,0,0
249,44,Middle,Black Market Dealer,78,0,27,0,Aggressive,8,0,1,0,0
250,11,Middle,Underground Battler,57,1,73,0,Unpredictable,13,1,0,1,1
251,28,Low,PokéMart Seller,89,0,66,0,Defensive,8,0,1,0,0
252,54,High,Breeder,56,0,74,0,Aggressive,22,0,1,0,0
253,43,High,Gym Leader Assistant,5,0,73,0,Unpredictable,14,0,1,0,0
254,58,Middle,Elite Trainer,32,0,51,0,Defensive,24,1,0,1,1
255,40,Low,Scientist,57,0,26,0,Unpredictable,5,0,1,0,0
256,30,High,Researcher,41,0,26,0,Defensive,1,0,1,0,0
257,42,Low,Casino Worker,49,0,21,0,Aggressive,0,0,1,0,0
258,20,Middle,Scientist,9,0,60,0,Defensive,15,0,1,0,0
259,36,Middle,Black Market Dealer,9,0,57,0,Unpredictable,2,0,1,0,0
260,43,Middle,Underground Battler,82,0,74,0,Aggressive,17,0,1,0,0
261,56,Middle,Rocket Grunt,7,0,43,0,Aggressive,24,0,1,0,0
262,11,Middle,Researcher,94,1,64,0,Aggressive,29,1,0,1,1
263,28,High,Scientist,28,0,25,0,Defensive,20,0,1,0,0
264,64,High,Breeder,77,0,42,0,Aggressive,16,0,1,0,0
265,22,Low,Scientist,58,0,54,0,Defensive,17,0,1,0,0
266,28,Middle,Gym Leader Assistant,100,1,52,0,Defensive,9,0,1,1,1
267,28,Middle,Fisherman,71,0,30,0,Defensive,14,0,1,0,0
268,58,Low,Underground Battler,92,1,39,0,Defensive,14,1,0,1,1
269,13,Middle,Fisherman,38,0,52,0,Defensive,7,1,0,1,1
270,41,Middle,Breeder,10,0,74,0,Defensive,21,0,1,0,0
271,30,Middle,Police Officer,90,0,20,0,Unpredictable,23,0,1,0,0
272,50,Low,Gym Leader Assistant,9,0,41,0,Unpredictable,16,0,1,0,0
273,54,Middle,Elite Trainer,60,0,23,0,Aggressive,19,0,1,0,0
274,50,High,Researcher,99,0,82,0,Unpredictable,25,0,1,0,0
275,63,Low,Breeder,92,0,79,0,Aggressive,25,0,1,0,0
276,23,Middle,Police Officer,83,0,40,0,Aggressive,10,0,1,0,0
277,48,Low,Biker,70,1,67,0,Unpredictable,24,1,0,1,0
278,13,Middle,Scientist,59,0,62,0,Unpredictable,20,0,1,0,0
279,31,Middle,Police Officer,12,0,62,0,Unpredictable,18,0,1,0,0
280,55,Low,Rocket Grunt,6,0,55,0,Defensive,6,0,1,0,0
281,13,Low,Gym Leader Assistant,19,1,62,1,Aggressive,10,0,0,1,1
282,68,Middle,Black Market Dealer,46,1,77,0,Unpredictable,23,1,0,1,1
283,44,Middle,Elite Trainer,94,0,79,0,Unpredictable,13,0,1,0,0
284,50,Low,Biker,73,0,52,0,Aggressive,20,0,1,0,0
285,15,Low,Underground Battler,17,0,63,0,Unpredictable,15,0,1,0,0
286,69,Low,Police Officer,15,0,50,0,Aggressive,22,0,1,0,0
287,45,High,Breeder,17,0,81,0,Aggressive,22,0,1,0,0
288,41,Middle,Breeder,58,0,32,0,Unpredictable,17,0,1,0,0
289,52,Low,Biker,18,0,51,0,Unpredictable,15,0,1,0,0
290,42,Low,Champion,71,0,50,0,Aggressive,23,0,1,0,0
291,24,High,Elite Trainer,99,0,53,0,Aggressive,0,0,1,0,0
292,28,High,Black Market Dealer,41,0,38,0,Defensive,0,0,1,0,0
293,29,Middle,Nurse,32,0,48,0,Aggressive,3,0,1,0,0
294,19,Low,Daycare Worker,76,0,29,0,Aggressive,7,0,1,0,0
295,64,Middle,Nurse,28,0,61,0,Unpredictable,23,0,1,0,0
296,55,Middle,Gym Leader Assistant,53,0,58,0,Aggressive,4,1,0,1,1
297,32,Low,Underground Battler,47,0,74,0,Defensive,12,0,1,0,0
298,44,High,Breeder,42,0,50,0,Defensive,8,1,0,1,1
299,31,Middle,Scientist,17,0,39,0,Aggressive,25,0,1,0,0
300,38,Middle,Nurse,43,0,60,0,Defensive,25,0,1,0,0
301,42,Middle,PokéMart Seller,48,0,82,0,Defensive,12,0,1,0,0
302,60,Low,Researcher,90,0,76,0,Aggressive,14,0,1,0,0
303,24,Middle,Elite Trainer,71,0,23,0,Unpredictable,20,0,1,0,0
304,58,Middle,Rocket Grunt,66,0,29,0,Aggressive,15,0,1,0,0
305,18,Middle,Breeder,90,0,38,0,Defensive,3,0,1,0,0
306,32,Middle,Biker,68,0,40,1,Unpredictable,25,1,0,1,1
307,58,Middle,Underground Battler,74,0,79,0,Aggressive,20,0,1,0,0
308,26,Low,Police Officer,34,0,31,0,Defensive,22,0,1,0,0
309,22,Middle,Daycare Worker,89,1,72,0,Defensive,20,0,0,1,1
310,10,Middle,Scientist,83,0,76,0,Unpredictable,22,0,1,0,0
311,42,Low,Black Market Dealer,65,0,82,0,Defensive,15,0,0,1,0
312,24,Middle,Researcher,7,0,27,0,Unpredictable,20,0,1,0,0
313,27,Low,Researcher,25,0,20,0,Unpredictable,0,0,1,0,0
314,55,High,Daycare Worker,63,0,20,0,Aggressive,7,0,1,0,0
315,62,Low,Black Market Dealer,78,0,50,0,Unpredictable,11,0,1,0,0
316,28,Middle,Breeder,66,0,53,0,Defensive,17,0,1,0,0
317,49,Middle,Casino Worker,79,0,78,0,Defensive,19,0,1,0,0
318,55,Middle,Breeder,99,0,22,0,Aggressive,18,0,1,0,0
319,10,Middle,Nurse,11,0,27,0,Aggressive,13,0,1,0,0
320,65,Low,Scientist,7,0,21,0,Unpredictable,11,0,1,0,0
321,49,Middle,Champion,90,0,81,0,Unpredictable,14,0,1,0,0
322,29,Low,Rocket Grunt,86,0,34,0,Aggressive,22,0,1,0,0
323,70,Low,Scientist,14,0,32,0,Defensive,19,0,1,0,0
324,39,Middle,Black Market Dealer,100,0,77,0,Defensive,2,0,1,0,0
325,69,High,Scientist,54,0,50,0,Aggressive,2,0,1,0,0
326,45,Low,Daycare Worker,52,0,72,0,Defensive,24,0,1,0,0
327,14,Middle,Biker,21,1,90,0,Aggressive,16,0,1,1,1
328,70,High,Fisherman,48,0,84,0,Defensive,16,0,1,0,0
329,42,Low,Biker,66,0,57,0,Defensive,1,0,1,0,0
330,39,Low,Biker,87,0,63,0,Defensive,9,0,1,0,0
331,49,Low,Black Market Dealer,79,0,38,0,Aggressive,16,0,1,0,0
332,39,Middle,Biker,98,0,25,0,Unpredictable,14,0,1,0,0
333,33,Middle,Police Officer,23,1,51,0,Aggressive,24,0,1,1,1
334,20,Low,Elite Trainer,62,0,45,0,Unpredictable,1,0,1,0,0
335,24,Middle,PokéMart Seller,36,1,82,0,Aggressive,25,0,1,1,0
336,19,High,PokéMart Seller,21,0,62,0,Unpredictable,10,0,1,0,0
337,35,Middle,Nurse,16,0,25,0,Aggressive,23,0,1,0,0
338,33,Low,Biker,37,0,25,0,Defensive,6,0,1,0,0
339,63,Middle,Black Market Dealer,37,0,73,0,Defensive,9,0,1,0,0
340,43,Middle,Police Officer,18,0,85,0,Aggressive,2,0,1,0,0
341,22,Middle,Daycare Worker,24,1,85,0,Aggressive,13,1,0,1,1
342,39,Low,Elite Trainer,20,0,27,0,Aggressive,22,0,1,0,0
343,38,Middle,Gym Leader Assistant,76,0,24,0,Defensive,24,0,1,0,0
344,30,Low,PokéMart Seller,64,0,58,0,Unpredictable,5,0,1,0,0
345,65,Middle,Scientist,92,0,37,0,Aggressive,10,0,1,0,0
346,59,High,Rocket Grunt,7,0,65,0,Defensive,15,0,1,0,0
347,69,Low,Biker,16,0,67,0,Unpredictable,24,0,1,0,0
348,11,Middle,Scientist,35,0,30,0,Defensive,7,0,1,0,0
349,62,Low,Champion,12,0,36,0,Unpredictable,11,0,1,0,0
350,56,Middle,Breeder,76,0,85,0,Defensive,3,0,1,0,0
351,57,Low,Elite Trainer,18,0,83,0,Defensive,14,0,1,0,0
352,37,Middle,Nurse,69,0,60,0,Unpredictable,4,0,1,0,0
353,25,Middle,Fisherman,9,0,54,0,Defensive,7,0,0,1,0
354,55,Middle,Elite Trainer,63,0,29,0,Aggressive,13,0,1,0,0
355,22,Middle,Fisherman,70,0,70,0,Unpredictable,20,0,1,0,0
356,50,High,Biker,74,0,30,0,Defensive,2,0,1,0,0
357,37,Low,Gym Leader Assistant,96,0,44,0,Unpredictable,7,1,0,1,1
358,26,Middle,Breeder,42,0,82,0,Unpredictable,20,0,1,0,0
359,11,Middle,Casino Worker,11,0,60,0,Aggressive,3,0,1,0,0
360,60,High,Black Market Dealer,60,0,46,0,Defensive,13,0,1,0,0
